publish_time,text,predicted_class
2024-10-07,这就是胡利奥·索莱尔的踢球方式，这位19岁的阿根廷本土左后卫将取代马科斯·阿库尼亚进入阿根廷国家队参加10月份世界杯预选赛。 才华横溢，期待实现世预赛首秀🇦🇷🔥#阿根廷国家队##世界杯预选赛# matemia的微博视频,pos
2024-10-07,"【#世界杯预选赛#｜国足飞赴澳大利亚比赛未包机，内媒指避免引发舆情】据内媒报道，国足于上周六（5日）从上海出发前往澳洲阿德莱德备战10月10日举行的世界杯亚洲区预选赛18强赛第三场和澳大利亚的比赛。 中国足协曾考虑包机往返澳大利亚，但因传出包机消息后，舆论场上以负面声音居多，为避免引发舆情最终未包机出行。
国足近年屡战屡败，尤其不久前在世界杯亚洲区预选赛0比7惨败给日本队，引发民众强烈不满。
国足前晚从上海浦东机场出发，经悉尼转机抵达阿德莱德，旅途近16个小时，中国足协主席宋凯和副主席许基仁也同机抵达。
许基仁表示，这次旅程比较长，中国足协也采取了一些措施，尽量减轻球员的旅途疲劳。 他又说，比赛日之前，每天都要抓紧训练，全队整体状态比较好。“虽然对手实力比我们强，但我们来就是要拼搏和战斗，争取最好的结果。”#世界杯足球赛# #国足世预赛# #国足#
网页链接",pos
2024-09-28,"🚨【武磊伤退，国足未来承压】🇨🇳⚽️

在9月28日的中超联赛中，武磊在对阵青岛西海岸的比赛中因伤退场，令人担忧。他在第30分钟受伤后被担架抬离，具体伤情尚待确认。😟

随着中国男足将在不到两周内迎战印尼队的世界杯预选赛，武磊的状态将直接影响国家队的表现。希望他能早日康复，为国足贡献力量！💪❤️#武磊##国足##世界杯预选赛#",pos
2024-09-09,"【足球设计中的几何学】
如果你仔细观察足球，就会发现上面黑白色块的形状并不相同，有的是正六边形，有的则是正五边形。

难道不是用相同形状更规则吗？足球又为什么要使用这两个形状的组合？这涉及到几何学中的密铺和曲率问题。

如果仅用正五边形或正六边形来构造球体，会发现两个问题。

首先，正五边形的内角是108度，在平面层面上，不能单独完成密铺。因为108度的内角太有个性，连一个完美贴合、没有空隙的面都拼不出来。

正六边形的内角是120度，虽然可以拼成一个整齐的蜂巢状平面，当尝试将这种结构应用到球体时，问题就出现了。

球面具有恒定的正曲率，这一特性要求构成密铺的基本单元必须能够适应并保持与球面整体一致的曲率，这要求在球体的每个顶点处，所有相接面的内角之和必须恰好为360度。但要实现完美的曲面过渡，正六边形就不得不低头弯腰、削足适履，多少有些强“角”所难。

因此，无限趋近于圆的正多边形是存在的，可由一种正多边形构成的球却是不可能存在的。如果非要全身上下都是同一种形状，那它可能就变成了一个尴尬的“方轮车”或穿不上的“二维球衣”。

现代足球，通常由12个正五边形和20个正六边形组成，借鉴了截角十二面体的样式，在结构上实现了高度的稳定和对称。

当然，这套“黑白配”不仅仅是看起来顺眼，在实际的足球比赛中，几何设计对足球的性能也至关重要：多块皮革组成的面体配置优化了触感传递与空气动力学性能，使足球能够在高速运动中保持均衡的转动和飞行轨迹。

正是这些精妙的几何学应用，使得体育竞技更具挑战性和乐趣。#微博公开课##世界杯预选赛#",pos
2024-09-09,9月5日，世界杯预选赛，韩国对阵巴勒斯坦在首尔世界杯体育场举行。这是韩国球迷为巴勒斯坦加油，鼓励巴勒斯坦球员。标语上写着：“巴勒斯坦和韩国，一起进军世界杯！” #足协主席宋凯给国足提出四点要求##世界杯预选赛##热门视频# 刘成春的微博视频,pos
2024-10-07,🇦🇷阿根廷国家队。 2024年 - 10月世预赛 第一天训练-迈阿密国际基地 #世界杯预选赛# matemia的微博视频,pos
2024-09-30,出10.15世界杯预选赛VS印尼 280 480位置门票 稍微有溢价 680以前部分有折扣 录信息#世界杯预选赛#,neu
2024-10-07,"又增加一位新鲜血液！19岁阿根廷国奥小将补招入选阿根廷世预赛名单！

河床阿库尼亚身体不适，阿根廷国家队征召拉努斯左后卫索莱尔顶替蛋哥位置，在阿根廷本土联赛和#南美杯# 发挥出色的年轻人！#南美区世预赛#",pos
2024-09-28,在武汉天地的喜家德看见前国脚刘殿座啦 #武汉三镇##刘殿座##国足##中超##世界杯预选赛# 武汉·武汉天地壹方北馆,pos
2024-09-20,#中国男足##世界杯预选赛##中国足协# 问君皮有几多厚？恰似万里长城无尽头…… 伊万，滚蛋！,pos
