publish_time,text,predicted_class
2024-10-04,五老峰和三叠潭限流了去不了啦！ 含鄱口不看日出也好看呀！#国庆旅游# 九江·含鄱口,neg
2024-10-03,想问一下天津的同志们，这个饮料真的是你们童年的记忆吗？#微博旅行家##国庆旅游##天津# 天津·意风区历史文化展览馆,pos
2024-09-28,购物碎片记录Vlog｜好物分享｜国庆日本游薅羊毛小Tips 来噜！假期快乐！ 见评论有🎁 #SuJi in Japan# #日本必买# #国庆旅游# #日本旅游# 葉SuJi的微博视频,neg
2024-09-29,国庆去哪儿玩？五岳探秘：泰山、华山、嵩山、衡山、恒山，哪个值得去？#五岳##国庆旅游# 三维地图科普局的微博视频,pos
2024-10-01,准备去北京的存下吧！#国庆旅游#,pos
2024-09-30,"赶在日落前拍到了绝美晚霞。对比一下手机和相机拍的。Mix Flip VS Canon EOS R6。对于非专业选手来说，目前手机已经能满足绝大多数摄影需求了！智能手机在影像上的不断突破，降低了摄影门槛，让更多非专业的普通老百姓能够享受到摄影带来的乐趣，更愿意去记录美好生活！
国庆快乐
#国庆旅游##手机摄影# 印度尼西亚·库塔海滩",pos
2024-10-04,"【#热门景点10月5日前门票都已售罄#，#游客错峰游成了高峰游#】10月4日，2024年国庆假期过半，中国游客涌向了各大热门旅游目的地和景区。近日，多家在线旅游平台发布的报告显示，假期中间“错峰”出行的旅游产品价格比假期前两日低上许多。

去哪儿数据显示，10月3日、4日机票价格最低。5日开始返程，价格一路走高，10月7日是价格最高点，10月8日、9日价格回落。酒店方面，10月2日-4日价格处于高位，5日起酒店价格逐渐回落。

不过，价格便宜，人却不少。澎湃新闻看到，在社交平台上，各地旅游景点都有游客发布“实况”内容试图“劝退”后来者。

有网友表示，原以为10月3日、4日是“错峰”，谁知道“错”了一个“高峰”，景区景点人满为患不说，还有不少旅游景点的门票早已售罄。多家热门景区10月4日发布公告称，10月5日甚至10月6日的门票也已售罄了。

此外，今年国庆假期“奔县”成了新流行。携程数据显示，国庆假期前三天，45%的“奔县”旅游者年龄集中在“90后”和“00后”。来自上海、北京、成都、广州、杭州、深圳等一二线大城市的年轻人最喜爱“奔县”游。假期前三天九寨沟、安吉、香格里拉、平潭、都江堰、景洪等县级市和县城在国庆首日都分别实现订单109%、86%、74%、67%、51%、50%的增长。
#年轻人错峰游整顿黄金周#网页链接",pos
2024-09-29,国庆免费旅游直通车！浦口这条线路不得不玩！ #总要去趟南京浦口吧##国庆旅游##南京旅游攻略##发现南京# 浦口发布的微博视频,pos
2024-10-02,照片当下不发出来 过几天就没有想发的欲望了 分享实时近照📷#国庆旅游##人像摄影# 苏州,neg
2024-10-05,"好顶的山西伴手礼！和爱熬夜的闺蜜一起养生

国庆跟着悟空来山西旅游，偷学了山西人的养生秘籍！
就是这个山西老陈醋泡的黑豆！
✅配料表干净，只有山西老陈醋、黑豆和蜂蜜调味。口感酸脆爽口，吃着吃着就离不开了！
很多人不知道，山西醋≠山西老陈醋，GB/T 19777标准的山西老陈醋，富含总黄酮和川芎嗪两大特征成分，养生的都懂，营养杠杠滴！特别适合熬夜的打工人放办公室拌饭吃！
假期旅游回去不用硬抗，下单可直接邮寄到家~📦
礼盒里2盒，共6罐，闺蜜3瓶，自留3瓶，和爱熬夜的小姐妹一起养生！
#蓝朋友秋日健康季# #跟着悟空游山西# #国庆旅游#",pos
2024-10-02,从百草园到三味书屋。与课本奔现是怎样一种感受（迅哥儿家的宅子真豪华阔气）#国庆旅游# 绍兴·鲁迅故里,pos
2024-10-02,十一小长假，草原小萌新来报道啦！#秋游季##国庆旅游#紫清湖野生动物世界 南京·紫清湖野生动物世界,pos
2024-10-03,"#国庆旅游#
多宝发来了黄山照片
天气不错 ，电话手表倒也拍出来松风吹茵露、翠湿云袅袅的感觉
国庆前一天，我给多宝做思想工作：知道妈妈最近为什么常批评你么？
多宝：你工作太累了？
我，不是，你要找找你的原因
多宝：我的爸爸惹你生气了？（把“ 我的”两个字，咬得很重）
我：五年级了，应该知道学习是自己的事情，但你天天都要妈妈催，每件事都要催
多宝：但是，你催我，我就完成了嘛。而是，你催我，我都没生气
好吧，你进步神速而是大度
国庆快乐！",pos
2024-10-05,我和我的朋友说好的旅游······· 结果在家5日游 #绝味鸭脖# #国庆旅游# #国庆节#,pos
2024-09-30,重庆长江索道数字影院开始试运行，可一站式打卡近30个山城知名景点#国庆旅游# #磁器口古镇# 视频来源：文化之旅沙坪坝 重庆市文化旅游委的微博视频,pos
2024-10-04,开车七小时疲惫不堪，但遇见皖南美景的那一刻，瞬间觉得特别值得…#国庆旅游# 黄山·黟县 陈峰老师的微博视频,pos
2024-10-05,还活着宁波·东海云顶#东海云顶##国庆节##国庆旅游# 宁波·东海云顶 叁柴Ming的微博视频,pos
2024-10-05,超高人气的#重庆##国庆旅游# 就飞一会会的微博视频,neu
2024-10-05,📍廣州｜来广州当然要吃早茶啦😝 #记录生活##国庆旅游# 广州,pos
2024-10-05,国庆旅游日记，集齐青岛的的日出日落#国庆旅游##青岛##火烧云#,pos
2024-10-05,#国庆旅游# 水流众，慢无声。人生如梦幻泡影，但过程执着又期待。,pos
2024-10-04,金巴兰的日落被云挡住了，好在晚霞晕染了大片天空🌇#国庆旅游##摄影##晚霞# 印度尼西亚·Rock Bar,neu
2024-10-05,#南岸文旅# #国庆旅游# #文明旅游#文明旅游 | 文明是最美的风景 (via：文化和旅游部）更多内容请点击链接：网页链接,pos
2024-10-05,#国庆旅游#,neu
2024-10-05,国庆武功山登顶#国庆旅游##五星红旗#,neu
2024-10-05,西安安逸，下盘还来#国庆旅游# 成都·成都东站西广场,pos
2024-10-05,"昆山挂壁公路位于景区内昆山村，是全国七条挂壁公路中最窄、最险、最奇、最美的一条，全长7.1公里。昆山挂壁公路是在一处上下500余米的悬崖绝壁上开凿的公路。

由于条件限制，隧道内道路较窄，仅容一辆小型车单向行驶。一字排开的156个“天窗”上罩危壁，下临深渊，远观像火车爬山，让人惊魂 魄，叹为观止。是自驾爱好者挑战极限的户外天堂。#热门视频##挂壁公路##国庆旅游# 剋剋啊的微博视频",pos
2024-10-05,"国庆假期余额已过半,小伙伴们行程还没安排上的抓紧时间,到#爱情圣地青龙峡 赴一场国庆假期欢乐之旅~!#国庆假期##国庆旅游# 焦作青龙峡峰林峡的微博视频",pos
2024-10-05,北海南宁旅游#亲子旅游##大海##国庆旅游# 南宁 北海，阳光☀️沙滩🏖️海浪🌊，充实的国庆之旅 北海,pos
2024-10-04,五老峰和三叠潭限流了去不了啦！ 含鄱口不看日出也好看呀！#国庆旅游# 九江·含鄱口,neg
2024-10-05,#生活手记##国庆旅游# 舟山➡️绍兴,neu
2024-10-05,谁懂！！第一次去动物园像刘姥姥进大观园，书里的动物现实也是见到了，此刻教育也完成闭环！！辛苦朋友被我拉着一直跑了，实在是太激动了～～#国庆旅游##成都动物园#,pos
2024-10-03,想问一下天津的同志们，这个饮料真的是你们童年的记忆吗？#微博旅行家##国庆旅游##天津# 天津·意风区历史文化展览馆,pos
2024-10-05,南京旅游#南京旅游##国庆旅游# 国庆南京应该有一亿人，再见 Yanglc_o的微博视频,neu
2024-10-04,体育比赛云集国庆！赛事旅游热潮兴起#体育赛事# #国庆旅游# #旅游# 天下篮球快报的微博视频,pos
2024-10-04,今年的国庆打卡中国丝绸博物馆 逛完了时装馆、织造馆、丝路馆 碰上了陕西文物出差杭州的九天阊阖特展 #杭州##国庆旅游##博物馆#,neu
2024-10-04,📍廣州｜凑个热闹 挤趟人海 #记录生活##国庆旅游# 广州·广州圣心大教堂,neu
2024-10-04,已经数不过来这是这些天看到的第几百个的交警了！14亿的一半都在江西吗？#国庆旅游##自驾游#,neg
2024-10-04,#爬黄山# 到底有多少人来黄山了？ #国庆旅游# #旅游# 追综VIP用户的微博视频,neu
2024-10-04,鱼味不是关键，人头才是看点。#国庆旅游#,neg
2024-10-04,开车七小时疲惫不堪，但遇见皖南美景的那一刻，瞬间觉得特别值得…#国庆旅游# 黄山·黟县 陈峰老师的微博视频,pos
